comments,cleaned_comments
Kalu. Suka kaco saja  baik perang,kalu suka kaco perang
Matanya Gam tidak tau malu,mata gam tau malu
Gubenur aceh harus kita waspda ..ad gerakaan di bawah tanah antara gam dan nkri,gubenur aceh waspda gerakaan tanah gam nkri
"Semua pejabat  org Aceh  ,yg berkuasa, laluh Apa lagi  yg di tuntut org Aceh ,gubernung mantan GAM ,tapi yg salahkan Negara ,",jabat org aceh kuasa laluh tuntut org aceh gubernung mantan gam salah negara
Ayo tni..Brantas seperatis gam...hajar tembak...biar aman nkri,ayo tnibrantas perat gamhajar tembakbiar aman nkri
sadarlh kau org org aceh otak kau ni kosong.gubenurnya kau mantan gam aceh...ini muka dua gubwnurnya pura pura sedih di depan kemera..bisa bermuka 2 ini.modus aje.pemerintah indonesia harud di awasi gubenurnya musuh dlm selimutm.rakyat sebagian mau lpindah kalian minggah kau dari negeri trutama kelompok gam ..nkri harga mati.fahamkau,sadarlh kau org org aceh otak kau kosonggubenurnya kau mantan gam acehini muka gubwnurnya pura pura sedih kemerabisa muka inimodus ajepemerintah indonesia harud awas gubenurnya musuh dlm selimutmrakyat lpindah minggah kau negeri trutama kelompok gam nkri harga matifahamkau
Jika terjadi musibah besar lagi sekali lagi itu itu perbuatAn mu sendiri jangan sgalah kan persiden itu kamu sendiri ingat itu,musibah buat sgalah persiden
Jelas jelas GAM kibar bendera.....harus nya gam bangun jembatan...kenapa TNI yg yg berjibaku d sana....,gam kibar benderaharus gam bangun jembatankenapa tni jibaku
Wajar karna indonesia terlalu baik sama malaysia...,wajar indonesia malaysia
Malesiya memang anjing yang meng gongngong,malesiya anjing meng gongngong
"Malaysia negara boneka yang tak pernah dewasa, kita siap ganyang malaysia.  Jilid 2 rakyat indonesia siap perang.",malaysia negara boneka dewasa ganyang malaysia jilid rakyat indonesia perang
Ayo tni  kirim bom ke negara seupil yang rakyat sama pemimpinnya sombong sombong itu,ayo tni kirim bom negara upil rakyat pimpin sombong sombong
Gempor aja malesia nanti yg bantu pasti inggris as sekutu malesia,gempor malesia bantu inggris sekutu malesia
"Pecat Gubernur yang tidak setia dengan NKRI.adakan latihan meliter setiap bulan di sepanjang pantai yang berbatasan dengan Malaisya dan singapure.
Buat 3 kapal  induk untuk patroli rutin di indonesia barat ,indonesia tengah,indonesia timur.",pecat gubernur setia nkriadakan latih liter pantai batas malaisya singapure kapal induk patroli rutin indonesia barat indonesia tengahindonesia timur
Kalao mm aku perang ya perang  hanya cumak nyompros percumah aja,kalao perang perang cumak nyompros percumah
Malasia singapura antek penjajah yang bertugas menghambat perkembangan Indonesia.,malasia singapura antek jajah tugas hambat kembang indonesia
"Ganyang GAM ,& mslaydes 
Bravo TNI.Bravo NKRI.❤❤❤",ganyang gam mslaydes bravo tnibravo nkri
PM .  Anwar Ibrahim itu Mantan LGBT...,anwar ibrahim mantan lgbt
Kekayaan bumi aceh habis malasia berpaling muka,kaya bumi aceh habis malasia paling muka
pak presiden prabowo putuskan aja hubungan dg  Malaysia jauh lebih baik,presiden prabowo putus hubung malaysia
Hancurkan Malaysia dan gam orang tidak tau diri Negara tidak boleh kalah. Kami rakyat Indonesia siap meluluh lantakan Malaysia.,hancur malaysia gam orang tau negara kalah rakyat indonesia luluh lantak malaysia
"Kalau benar mau merdeka,mendirikan Negara dalam negara Merdeka NKRI,sama dengan makar,siapkan kekuatan penuh TNI POLRI di perbatasan malaisya singapura.di sepanjang pantai.",merdekamendirikan negara negara merdeka nkrisama makarsiapkan kuat penuh tni polri batas malaisya singapuradi pantai
"Sabah serawak aja di abaikan ......dah tau niat jahat Malaysia , mau ngeruk sumber daya alam Aceh , warga Aceh waspada jangan mau di jadalin ma Malaysia....",sabah serawak abai tau niat jahat malaysia ngeruk sumber daya alam aceh warga aceh waspada jadalin malaysia
Pendapat Prabowo baik sekali siap Perangi Malaysia ...terjadi perang Malaysia dg Indonesia tinggal separuh tentaranya yg MATI Makaysia Baru GAM pindahkan ke Malaysia bergabung dg Jadi Warga Malaysia...seharusnya Begitu GAM biar tak jadi Mumuk buat warga ACEH,dapat prabowo rang malaysia perang malaysia indonesia tinggal paruh tentara mati makaysia gam pindah malaysia gabung warga malaysiaseharusnya gam biar mumuk warga aceh
"Aceh ngk kapok "" lho ya sdh di ksh sunami, banjir bandang lho punya otak sdh ngk normal lgi",aceh ngk kapok sdh ksh sunam banjir bandang otak sdh ngk normal lgi
"Indonesia harus perang dengan malaysia, ganyang malaysia penghasut Aceh merdeka, pemeruntah Indonesia segera ambil tindakan ini bukan hal biasa",indonesia perang malaysia ganyang malaysia hasut aceh merdeka perun indonesia ambil tindak
"Anuar Ibrahim ngajak perang, pemerintah segera tutup selat Malaka terutama barang masuk ke keluarga barang  dari mia, , GAM silakan gabung ke mia, untuk angkat senjata lagi tni- gam",anuar ibrahim ngajak perang perintah tutup selat malaka barang masuk keluarga barang mia gam sila gabung mia angkat senjata tni gam
Kl ngikuti ego.ingin merdeka.yq buat apa kl makin gak jelas.benahi laah sebaik2nya Aceh agar menjadi lebih baik.,ngikuti egoingin merdekayq jelasbenahi laah aceh
Kamu ni bekas Komunis !,bekas komunis
"Buat apa?
Toh juga negri ini di pimpin pemimpin yang juga seperti boneka, sudah jelas jelas di bodohi sama anak buahnya, malah percaya, kalau saya punya anak buah yang penipu seperti bahlil, saya sudah pecat !!
Pertanyaanya emang mau melihara anak buah yang seperti itu?
Emang tidak malukah di tipu di depan ratusan juta masyarakat?
Masih punya mungka kah??",negri pimpin pimpin boneka bodoh anak buah percaya anak buah tipu bahlil pecat pertanyaanya melihara anak buah malu tipu ratus juta masyarakat mungka kah
Habisi sja,habis sja
Percaya boleh  sm orang namun curiga dan wapada itu ada begitu juga dgn  negara tetangga  diseluruh wilayah indonesia dekat dgn negara tetangga jgn biarkan mereka mengeruk sumber alam 😂😂 apa lagi niat menjatukan atau memerdekan pecah dr indonesia tegor3x ga bs sikat bw masuk pasukan nya kewiliyah kita bunuhhh selesai tegas itu hrs ada,percaya orang curiga wapada dgn negara tetangga seluruh wilayah indonesia dgn negara tetangga jgn biar keruk sumber alam niat menjatukan dek pecah indonesia tegorx sikat masuk pasu kewiliyah bunuhhh selesai hrs
"orang yg gagah gagahan seppperti itu sudah bosen hidup sama juga tidak ada kasih sangnya ke anak cucunya masa depan nya 
seolah2 dia akan mebunuh ke anak cucuny mereka sendiri",orang gagah gagah seppperti bosen hidup kasih sang anak cucu mebunuh anak cucuny
Malaysia bantu Aceh sbb saudara seislam... hairan org Indonesia mudah Buruk sangka...di bantu gak mau bersyukur... kalau ni sikap org Indonesia sampai kapan pun x akan maju sbb penuh hasrat dengki antara satu sama lain... Negara Malaysia x seperti Indonesia rakyat nya gak mau bersatu... Malaysia patuh Islam itu sbb negara makin maju sbb redha Allah...,malaysia bantu aceh sbb saudara islam hairan org indonesia mudah buruk sangkadi bantu syukur sikap org indonesia maju sbb penuh hasrat dengki negara malaysia indonesia rakyat satu malaysia patuh islam sbb negara maju sbb redha allah
Tapisayangnya.pakprabowo.....masihpercaya.ngajak.kerjasama.kelola.ambalat.sayasangat.tidaksetuju.neggrimaling.tetepmaling.sukanusukdari.belakang.itukelakuan.manusia.tipe.m,tapisayangnyapakprabowomasihpercayangajakkerjasamakelolaambalatsayasangattidaksetujuneggrimalingtetepmalingsukanusukdaribelakangitukelakuanmanusiatipem
Malingdesh ini tahu ngak dia buka kehancurannya,malingdesh ngak buka hancur
Daerah istimewa itu sudah sangat bagus masalahnya mereka tau gak artinya daerah istimewa. . ......,daerah istimewa bagus tau daerah istimewa
Pesan buat pak Prabowo ganyang si malaydes si otak udang jgn di kasih ampun,pesan prabowo ganyang malaydes otak udang jgn kasih ampun
Yang suka ngerampok itu ya pengusaha yg akrab dengan malaysia dan singapura.,suka ngerampok usaha akrab malaysia singapura
"Ini orang orang Malaydes selalu bikin ulah.......
Ayooo..... Kita Negara Indonesia.. Kita Ganyang...... Malaydes.....",orang orang malaydes ulah ayooo negara indonesia ganyang malaydes
Waaah ini mash harus ada ketegasan dari baoa oersiden jangan dikasih longgar,waaah mash tegas baoa oersiden kasih longgar
"Memang harus disikat Malaydesh semakin lama semakin melunjak GAM & PAPUA dirayu untuk keluar NKRI, jika dibiarkan semakin menginjak-injak kesatuan NKRI jika dibiarkan kita dianggap takut,  rudal aja Maladesh buat ""WARNING WAR"" pasti ngumpet, mendidih darahku dengan kelakuan Maladesh ini yg tak tau malu & sontoloyo.",sikat malaydesh melunjak gam papua rayu nkri biar menginjakinjak satu nkri biar anggap takut rudal maladesh warning war ngumpet didih darah laku maladesh tau malu sontoloyo
"Malaydesh itu tetangga yg buruk bermasalah dg thailand,singapura,vietnam,brunei dan indonesia...",malaydesh tetangga buruk masalah thailandsingapuravietnambrunei indonesia
Perang aja tidak penyelesayan kalau enda perang,perang penyelesayan enda perang
Malingsia... di Ambang Kelaparan.!,malingsia ambang lapar
"Aceh itu klau kasih enak Mala ngelunjak, sekali2 kasih pelajaran penduduknya.",aceh klau kasih enak mala ngelunjak kasih ajar duduk
Aceh anak emas bantuan banjir plg besar dibandung sumut dan sumbar,aceh anak emas bantu banjir plg bandung sumut sumbar
Siapapun yg menggangu keutuhan dan persatuan NKRI di dalam ataupun negara lain siap siaplah untuk menanggung akibatnya hancurkan mereka sampai rata dengan tanah,menggangu utuh satu nkri negara siap tanggung akibat hancur tanah
PEMERINTAH Yg mensejahtrakan rakyat ACEH tpi sbagian rakyat ACEH sungguh tdk tau diri tdk tau malu banget dan tdk tau cra trimakasih,perintah mensejahtrakan rakyat aceh tpi sbagian rakyat aceh sungguh tdk tau tdk tau malu tdk tau cra trimakasih
"Kenapa malaydesh ikut campur dinegara Indonesia , kalau mau bantu ya bantu saja tp jngn menghasut rakyat Indonesia dan jangan menghasut kalau tidak mau ribut atau perang , NKRI harga mati❤❤❤",malaydesh campur negara indonesia bantu bantu jngn hasut rakyat indonesia hasut ribut perang nkri harga mati
"Sikat sja malaydesh mau jdi propokator, ikut campur urusan Negeri lain, rakyat indonesia siap hadapi malaydesh sekali kali malaydesh kasih pelajaran, malaydesh sendiri miskin, keree sok sokan cari muka..,ganyang malaydesh sampai habis .dan satu lagi masyarakat Aceh munapik...Alloh murka sapu lagi habis rata latan, utulah merdeka aceh tdak tahu trimakasih malah megecewakan, semoga Alloh beri peringatan yg lebih besar Aamiin...🤲🏻🤲🏻🤲🏻 Doa,bansa Indonesia yg di kecewakan.",sikat sja malaydesh jdi propokator campur urus negeri rakyat indonesia hadap malaydesh malaydesh kasih ajar malaydesh miskin keree sok sok cari mukaganyang malaydesh habis masyarakat aceh munapikalloh murka sapu habis lat utulah merdeka aceh tdak trimakasih megecewakan moga alloh ingat aamiin doabansa indonesia kecewa
"Kenapa pemerintah indonesia terlalu lemah....ayo lah pak presiden jngan omon2 ,cukup sudah jngan gebrak meja doang,tp tolonglah gebrak malaydes kirimlah rudal2 yg baru di beli ke malaydes....",perintah indonesia lemahayo presiden jngan omon jngan gebrak meja doangtp tolong gebrak malaydes kirim rudal beli malaydes
"Gam y masih ada ,bantuan sosial bencana y buat gam ,klo d kasih bencana nangis ,klo dah tenang mau merdeka gam y,",gam bantu sosial bencana gam klo kasih bencana nang klo tenang merdeka gam
Yg berhak aceh mau pisah sudah pd mati manusia sekarang cuma numpang doang gk ikut perang😂😂,hak aceh pisah mati manusia numpang doang perang
Ngapain perang kan sudah di oeringatkan merdeka lah sana kita mau liat,ngapain perang oeringatkan merdeka liat
SUDAH DAATNYA RI MEMPERKUAT ARMANANYA DIKAEASAN ACEH.,daatnya kuat armananya dikaeasan aceh
"Perang
Perang
Perang
GANYANG MALAYSIA 
MELAYU HALU",perang perang perang ganyang malaysia melayu halu
RAKYAT ACEH JANGAN MAU DIBODOHIN MALYNGSIA.,rakyat aceh dibodohin malyngsia
Negara kau aja malaysia terbagi-bagi karna kebijakan pemimpin yg banci !sekarang kau mau coba ambil wilayah indonesia? Habiskau kekuatan nkri jangan kau remehkan dan aceh jangan muka dua.,negara kau malaysia terbagibagi bijak pimpin banci kau coba ambil wilayah indonesia habiskau kuat nkri kau remeh aceh muka
SASIPMU SAMA TIMUR LESTE.,sasipmu timur leste
Malysia dancuki,malysia dancuki
Pak Prabowo setelah jabat malah jadi Jendral kancil tak nampak mantannya seperti waktu msh aktif di militer gebragan tok kyk aroma ET di pssi,prabowo jabat jendral kancil nampak mantan msh aktif militer gebragan tok aroma pssi
"Ya Allah ratakanlah Aceh, tanpa Indonesia susah2 keluarin tentaranya",allah rata aceh indonesia susah keluarin tentara
Usir saja kalau mereka mau merdeka  silahkan kalian pergi dari bumi Pertiwi NKRI kami bumi aceh akan kami isi oleh orang orang yang berjiwa patriot dan cinta tanah air Indonesia,usir merdeka silah pergi bumi pertiwi nkri bumi aceh isi orang orang jiwa patriot cinta tanah air indonesia
"Nah gitu, rakyat juga siap dan alangkah baiknya rakyat dibantu mempersiapkan diri agar powernya bisa doandalkan",rakyat alangkah rakyat bantu powernya doandalkan
2:06 Video klip itu video lama loh. Video itu malah tiada kaitan sama Aceh atau pun Indonesia. Apa bisa dibikin hoax buat adu domba sama negara saya Malaysia. Jangan mudah terpancing. Hati-hati.,video klip video video tiada kait aceh indonesia bikin hoax adu domba negara malaysia mudah pancing hatihati
Channel youtube sampah...Negara yg tidak bersukur...Sedih aku lihat negara indon nie...Ape masalah korang sebenar nya....Sikit2 nl libat kan malaysia...Fitnah malaysia...Sedar lah sikit...Rakyat indon yg brkerja d malaysia...Ramai tau...Mereka mncari rezeki kat negara kami...Kami bgi mereka kesenanggan...Tpi sikit pun korang tak hargai....Aksik nk fiknah je kerje korang...Kalau dh DPR nya tu bodoh..Nak urus kan negara pun tak pandai...Apa tah lagi rakyat nya..Sama bodoh lh Jawab nya...kesihan...😂😂😂😂😂😂😂SAMPAH..,channel youtube sampahnegara bersukursedih lihat negara indon nieape korang benar nyasikit libat malaysiafitnah malaysiasedar sikitrakyat indon brkerja malaysiaramai taumereka mncari rezeki kat negara kamikami bgi kesenanggantpi sikit korang hargaiaksik fiknah kerje korangkalau dpr bodohnak urus negara pandaiapa tah rakyat nyasama bodoh nyakesihansampah
"BERIKAN ACEH K MALAYDESH, SETELAH ITU HANCURKAN MALAYDESH SAMPAI RATA",aceh malaydesh hancur malaydesh
"saya dari NTB  benci lihat kalian di sa,at musibah kalian sombong sekali",ntb benci lihat musibah sombong
"Mereka ingin merdeka karena  kekayaan di keruk pejabat rakus yang dampaknya bikin banjir,ini ulah luhut 😂",merdeka kaya keruk jabat rakus dampak banjirini ulah luhut
Kami tak mahu Aceh. Berita pro paganda murahan. Kami menolong setulus hati sesama manusia.,mahu aceh berita pro paganda murah tolong tulus hati manusia
Pemerintah malaydes di bodohin orang Aceh yang berniaga atau jualan di depan jualanya sembako di belakang gerainya ganja atau sabusabu kalau baru tau 😮😮😮😮😮 malaydes dari dulu di bodohin dengan berkedok agama ❤❤❤❤,perintah malaydes bodohin orang aceh niaga jual jualanya sembako gerai ganja sabusabu tau malaydes bodohin kedok agama
PMX pikirkan rakyat malaydes negaramu terkena bencana. Kami Indonesia rela kalian Bawak semua rakyat Aceh ke malaydes daripada bangla,pmx pikir rakyat malaydes negara kena bencana indonesia rela bawak rakyat aceh malaydes bangla
kita sudah punya banyak alasan untuk menyerang malaydesh.,alas serang malaydesh
Sudah waktunya malaydes diberi peringatan dan pernyataan tegas.agar menjaga ambisi utk berusaha mengadu domba rakyat Indonesia khususnya di Aceh,malaydes ingat nyata tegasagar jaga ambisi utk usaha adu domba rakyat indonesia aceh
Dari masa Soekarno ganyang malaydesh taaaaapi trus aja dikasi hati.. malaydesh ituuuu PENGHIANAT bukan utk NKRI aja trmsuk juga untuk ASIA.,soekarno ganyang malaydesh taaaaapi trus kasi hati malaydesh ituuuu penghianat utk nkri trmsuk asia
Ini harus di tindaklanjuti orang malaysia ini menghasut rakyat indonesia orang ini udah terang2an menghasut harus di tindak lanjuti jgn boleh masuk indonesia.,tindaklanjuti orang malaysia hasut rakyat indonesia orang terang hasut tindak lanjut jgn masuk indonesia
Silahkan saja Aceh mau bergabung ke Malaysia itu kalau bisa tapi ingat. Aceh adalah bagian dari nkri dan Aceh akan berurusan dengan negara Indonesia apa semudah itu Aceh akan merdeka atau bergabung dengan negara malaysia,silah aceh gabung malaysia aceh nkri aceh urus negara indonesia mudah aceh merdeka gabung negara malaysia
"Kalian muslim,tapi iman xan setipis tisu,mudah dihasut malaydes.contoh dh bnyk seperti timor leste keluar skrng jd negara termiskin didunia krn sda dikeruk australia.alhamdulillah papua dh mulai sadar gk mau dirugikan hny utk segelintir org dan megara asing.mrk tau niat busuk dr peegerakan saparatisme slm nie gk berpihak utk kepentingan rkyt.aceh dh diberi pelajaran m Allah S.W.T agar taubat nasuha jgn egoisme semua kita saudara saling bahu membahu bkn hny mikirin diri sendiri.contoh wong jowo yg selalu legowo.",muslimtapi iman xan setip tisumudah hasut malaydescontoh bnyk timor leste skrng negara miskin dunia krn sda keruk australiaalhamdulillah papua sadar rugi hny utk gelintir org megara asingmrk tau niat busuk peegerakan saparatisme slm nie pihak utk penting rkytaceh ajar allah swt taubat nasuha jgn egoisme saudara bahu bahu bkn hny mikirin sendiricontoh jowo legowo
Gam di Aceh selalu bikin masalah padahal orang Islam namun akhlak nya tidak ada kesadaran oleh sebab itu Allah selalu mendapatkan balak dari Allah SWT kalok pemerintah tak sabar udah lama lenyap di muka bumi,gam aceh orang islam akhlak sadar allah balak allah swt kalok perintah sabar lenyap muka bumi
"Aceh klo bergabung malaydes sangat rugi,mau tau malaydes hny incar sumber daya alam aceh jk dh dikeruk kabeh malaydes rengek xan,gk bakal malaydes bangun daerah aceh sepenuh hati ruh dh ada contohnya SABAH DAN SERAWAK SDA dh hbs dikeruk malaydes selangor dan gk ada pembamgunan inftanstruktur dan kemiskinan.malaydes negara munafik,keji,licik.org bodoh j mau gabung malaydes.",aceh klo gabung malaydes rugimau tau malaydes hny incar sumber daya alam aceh keruk kabeh malaydes rengek xangk malaydes bangun daerah aceh sepenuh hati ruh contoh sabah serawak sda hbs keruk malaydes selangor pembamgunan inftanstruktur kemiskinanmalaydes negara munafikkejilicikorg bodoh gabung malaydes
"Menurut saya??? Sudah tepat pemerintah NKRI melarang bantuan asing untuk bencana alam di Aceh!!! Kalau bantuan asing masuk, harga diri Bangsa Indonesia di mata warga Aceh khususnya GAM hilang. GAM akan merasa mereka dibantu asing bukan Bangsa dan segenap Tumpah Darah Indonesia.
Pelajaran juga buat seluruh Rakyat NKRI",perintah nkri larang bantu asing bencana alam aceh bantu asing masuk harga bangsa indonesia warga aceh gam hilang gam bantu asing bangsa segenap tumpah darah indonesia ajar rakyat nkri
Aceh... Kena bencana  merenge.... 😂😂😂😂😂😂......,aceh kena bencana merenge
Malasyia itu musuh nyata atau musuh dalam selimut di ASEAN pantas klo diganyang. Karena dia negeri boneka dan budak barat.,malasyia musuh nyata musuh selimut asean klo ganyang negeri boneka budak barat
"Kenapa malasia tidak di invansi saja,kalau di diam kan terus malasia merasa hebat kuat, malasia mau incar tambang minyak di Aceh, rakyat harus sadar jangan terlalu pengaruh asutan malasia.",malasia invansi sajakalau diam malasia hebat kuat malasia incar tambang minyak aceh rakyat sadar pengaruh asutan malasia
Jangan adu domba rakyat aceh oleh segelintir orang yg berpikir  sempit.,adu domba rakyat aceh gelintir orang pikir sempit
Malaysia g bener ini... Sdh melewati batas.... Menginterfensi negara org lain😢😢😢,malaysia bener sdh lewat batas menginterfensi negara org
Salam merah putih salam bhinneka tunggal Ika dan salam kubah batu,salam merah putih salam bhinneka tunggal ika salam kubah batu
Hanya satu kata GANYANG MALAYSIA. NKRI HARGA MATI,ganyang malaysia nkri harga mati
Negara jngn jadi pengecut cuma dngn negara kecil dngr tuh dngn lantang bajingan Mahatir berkata mempropokasi rakyat Aceh ini sudah menghina kedaulatan NKRI ini biadab,negara jngn kecut dngn negara dngr dngn lantang bajing mahatir mempropokasi rakyat aceh hina daulat nkri biadab
SABANG. SAMPAI. MERAUKE. HARGA. MATI.  TITIK  RAKYAT  SIAP JIWA RAGA UNTUK  NKRI,sabang merauke harga mati titik rakyat jiwa raga nkri
Kasih pelajaran biar g ngalujak tu malaydes kita rudal saja biar sadar,kasih ajar biar ngalujak malaydes rudal biar sadar
"Malaysia karena negara kecil dia pingin jadi negara besar,sehingga otaknya jadi otak maling😂",malaysia negara pingin negara besarsehingga otak otak maling
yg cakap tue anwar bukan malaysia,cakap tue anwar malaysia
"MAKSUD KONTEN INI ... BIARLAH BERSATU DALAM KEBODOHAN !!!???   DAN NKRI BODOH MISKIN HARGA MATI  !!! INI YANG TERJADI ... DI SUMATERA , KALIMANTAN , PAPUA DAN SULAWESI . HANYA SDA NYA YANG DIRAMPOK UNTUK MEMPERKAYA PEJABAT PUSAT !!!???",maksud konten biar satu bodoh nkri bodoh miskin harga mati sumatera kalimantan papua sulawesi sda rampok kaya jabat pusat
Ganyang Malaysia hanycurkan negri penghasut juga penghianat Nusantara!,ganyang malaysia hanycurkan negri hasut penghianat nusantara
Takda siapa pun rakyat Malaysia yang mau Aceh bergabung dengan Malaysia... Malaysia sendiri punya banyak masalah...buat apa menambah masalah...kalau Aceh merdeka Mandiri aja...ngak perlu bergabung sama Malaysia...,takda rakyat malaysia aceh gabung malaysia malaysia masalahbuat tambah masalahkalau aceh merdeka mandiri ajangak gabung malaysia
Tantang. Anoar.. Sy harap. Pk. Presiden. Jgn. Diam. Masak. Di. Olok. Oleh. Pk. Anoar. Iti,tantang anoar harap presiden jgn diam masak olok anoar iti
Negara Malaysia sudah mempunyai hutang sebanyak 60% dan membantu membangun Aceh terus uangnya dari mana Anwar....kok bangsa Melayu Malaysia suka mengusik usik Negara besar INDONESIA 🇮🇩....Anwar Ibrahim kehilangan mukanya di mata orang Melayu Semenanjung dan terus membuat kesalahan besar....😊😊😊😊😊😊,negara malaysia hutang bantu bangun aceh uang anwarkok bangsa melayu malaysia suka usik usik negara indonesia anwar ibrahim hilang muka orang melayu semenanjung salah
"Memang sudah semakin marak berita2 para konten kreator malaysia dan nitizennya, yang secara terang2an mendukung kemerdekaan bagi masyarakat Aceh....
Jelas bahwa negara malaysia ini, sengaja mematik kemarahan dari pemerintah lndonesia dan juga seluruh rakyat Indonesia....
Jelas ada motif lain, dibalik sumbangan yang diberikannya....
Faktanya berita2 malaysia ini sengaja membuat heboh sumbangan yang diberikan, sambil menyudutkan pemerintah lndonesia yang disebut lamban dalam bertindak....
Disinilah letak ketegasan pemerintah lndonesia beserta TNI untuk tanggap menyingkapi hal ini....
Buat apa beli alutsita gila2an memakan banyak biaya,  jika kedaulatannya justru terancam terpecah belah oleh pihak separatis GAM dan juga keterlibatan malaysia....
Kalau gerombolan separatis opm saja di buru dan di berantas........
Mengapa di Aceh justru, mereka bertingkah seperti preman...
Bahkan berani menghentikan kapal TNI untuk meminta jatah bantuan....
Ini memalukan martabat bangsa lndonesia....
Bagaimana mungkin TNI sebagai ujung tombak kekuatan negara harus tunduk pada preman2 bersergam GAM ....
Tegas saja dalam bertindak....
Tidak ada negara didalam sebuah negara ...
Tidak ada tentara, selain TNI di negeri ini...
Jangan asa toleransi lagi pihak separatisme di negeri ini.....",marak berita konten kreator malaysia nitizennya terang dukung merdeka masyarakat aceh negara malaysia sengaja patik marah perintah lndonesia rakyat indonesia motif balik sumbang fakta berita malaysia sengaja heboh sumbang sudut perintah lndonesia lamban tindak letak tegas perintah lndonesia serta tni tanggap singkap beli alutsita gila makan biaya daulat ancam pecah belah separatis gam libat malaysia gerombol separatis opm buru berantas aceh ting preman berani henti kapal tni jatah bantu malu martabat bangsa lndonesia tni ujung tombak kuat negara tunduk preman sergam gam tindak negara dalam negara tentara tni negeri asa toleransi separatisme negeri
"Kalau memang Malaydes secara terbuka mau merusak kadaulatan negara(mengajak rakyat aceh utk bergabung), itu sdh final, putuskan hub. Diplomatik, bekukan aset pengusaha malaydes, usir warga malaydes, caplok ambalat seutuhnya. Sekalian perang terbuka✊🇮🇩",malaydes buka rusak kadaulatan negaramengajak rakyat aceh utk gabung sdh final putus hub diplomatik beku aset usaha malaydes usir warga malaydes caplok ambalat utuh perang buka
Pastikan berita nya sahih tulen atau palsu ( BETUL ATAU TIDAK ),pasti berita sahih tulen palsu
Termasuk pki jokowi seret dari indonedia,pki jokowi seret indonedia
kapan ganyang malaysia dan bubarkan mereka sudah ngelunjak dari dulu berlindung dari kata serumpun dan sesama asean,ganyang malaysia bubar ngelunjak lindung serum asean
Nanti ribut marah Allah di ambil Allah apa di beri nya eggak bersyukur  habis semua alam alam di hancur kan Allah  alam Aceh di ketig kan Allah apa yg ada,ribut marah allah ambil allah eggak syukur habis alam alam hancur allah alam aceh ketig allah
"Di mlaysia itu tempat plarian komunis,,yg di buru dri indonesia dulu,,karna almarhum kakek saya masih hidup pernah bercrita brjuang mengikuti tni membrantas komunis sampai di dalam perbatasan mlaysia,,yg di sebut ganyang malaysia,,hanya saja waktu itu kkek saya bilang karna trjadi pembrotakan di pusat pasukan di tarik, dlu sungai di sini di dekat perbtsan tak bisa di mandikan penuh dengan mayat orang komunis yg di bunuh oleh masyrakat mengamuk, yg selamat kabur ke mlaysia,,,hanya sjarah jaman kakek sya percaya karna merka ikut brjuang waktu itu...jdi gak heran klw sifat malaysia itu arogan meski tak smua nya..",mlaysia plarian komunisyg buru dri indonesia dulukarna almarhum kakek hidup bercrita brjuang ikut tni membrantas komunis batas mlaysiayg ganyang malaysiahanya kkek bilang trjadi pembrotakan pusat pasu tarik dlu sungai perbtsan mandi penuh mayat orang komunis bunuh masyrakat amuk selamat kabur mlaysiahanya sjarah jaman kakek sya percaya merka brjuang itujdi heran klw sifat malaysia arogan smua
"Jngn slhkn penyelundup malaydes,tp pasukan elit kt kmn,repot lah,mnjaga kdaulatan NKRI cm pulau aceh aja  kt kcolongan smp trilyunan,ah,cq.RI.1 MENHAN & PANGLIMA jg KAS AL Lantamal Sabang repot",jngn slhkn selundup malaydestp pasu elit kmnrepot lahmnjaga kdaulatan nkri pulau aceh kcolongan smp trilyunanahcqri menhan panglima kas lantamal sabang repot
Ganyang malesia negara selalu bikin masalah menantang perang sukak mencuri milik indonesia sulak mengklaim milik indonesia ganyang malesia,ganyang malesia negara tantang perang sukak curi milik indonesia sulak klaim milik indonesia ganyang malesia
IQ TINGGI DAN SEPERTI INILAH YG BIKIN MALAYSIA MENDUNIA.😂😂😂,malaysia dunia
"orang aceh jd pati antae blk kampong,",orang aceh pati antae blk kampong
"apa ruginya kita jika wilayah2 termiskin seperti Papua dn aceh itu pisah dr NKRI,lepaskan saja biar rkyt  indonesia LBH  makmur dr Norwegia 🤣",rugi wilayah miskin papua aceh pisah nkrilepaskan biar rkyt indonesia lbh makmur norwegia
"Bkn cuma aceh,malaydes sdh memprovokasi daerah lain,tetangga yg tak tahu diri,, apa perlu digaungkan lagi ganyang malaysia,?merdeka saja pemberian inggris,sok2an .persis Kya israel sama2 sombong,",bkn acehmalaydes sdh provokasi daerah laintetangga gaung ganyang malaysiamerdeka beri inggrissokan persis kya israel sombong
Jadi Aceh di dlangin malayadesia . A Ibrahim mendalangi Aceh . Maling-sia pedahat lagi kerisis ga ada beras . Lawan maling-sia . Aceh celaka jika pisah dari NKRI harga mati .,aceh dlangin malayadesia ibrahim dalang aceh malingsia pedahat keris beras lawan malingsia aceh celaka pisah nkri harga mati
Biang keladi ni malayseah,biang keladi malayseah
