comments,cleaned_comments,sentiment,sentiment_label
Jangan bawa nm allah anjing demi kepentingan peribadi kalian dasar kalian ace suda di bodohin oleh negara asing,bawa allah anjing penting peribadi dasar ace suda bodohin negara asing,LABEL_2,0
Itu gubernur.nya aj ko pengacau gitu ya,gubernur acau,LABEL_1,1
"Sadar jangan bikin menderita.
Indonesia 🇮🇩 tidak suka di adu domba orang gam",sadar derita indonesia suka adu domba orang gam,LABEL_2,0
Justru Aceh masih dijajah Indonesia mendatangkan musibah bencana alam krn itu Aceh hrs Merdeka.,aceh jajah indonesia musibah bencana alam krn aceh hrs merdeka,LABEL_1,1
hasutan Malaysia..dia yg mau menguasai aceh..pak prabowo bungkam mulut mapaysia,hasut malaysiadia kuasa acehpak prabowo bungkam mulut mapaysia,LABEL_1,1
Semoga bapak presiden kita slalu diberi kesehatan oleh Allah..,moga presiden slalu sehat allah,LABEL_0,2
"Gubernur tertolol di Indonesia , maknanya hentikan penggunaan ganja  supaya sarap otak mu istabil  artinya tidak rusak dan berfikir panjang kedepan tanpa ada gangguan moral dan intelektual.",gubernur tolol indonesia makna henti guna ganja sarap otak istabil rusak berfikir depan ganggu moral intelektual,LABEL_2,0
Malasia itu negri nyinyir dari presiden sampai rakyat nya nyinyir,malasia negri nyinyir presiden rakyat nyinyir,LABEL_2,0
"Malaysia emang ngajak ribut ,suka mencari cari kesalahan",malaysia ngajak ribut suka cari cari salah,LABEL_2,0
"Rakyat mendukung tanpa kompromi, NKRI harga mati ganyang malayssia gaskeun",rakyat dukung kompromi nkri harga mati ganyang malayssia gaskeun,LABEL_2,0
"Maka dari itu pemerintah harus tegas,,dan berani untuk perlu di hancurkan,,maka dari itu perdana menteri Jiran itu gak ada nyali cuma bisa ngomong,,silahkan perang sama negara ku Indonesia",perintah tegasdan berani hancurkanmaka perdana menteri jiran nyali ngomongsilahkan perang negara indonesia,LABEL_2,0
KALAU SEKEDAR MENGHANCURKAN MALAYSIA ATAU GAM NGGAK PERLU TNI TURUN. CUKUP RAKYAT INDONESIA YG BUKAN MILITER UNTUK MENGHADAPI MALAYSIA DAN GAM.RAKYAT INDONESIA BIAR BUKAN MILITER TAPI NGGAK BISA ATAU SULIT UNTUK DI KALAHKAN OLEH MILITER NEGARA LAIN. APALAGI TNI YG TERJUN NGGAK SAMPAI SATU BULAN MALAYSIA PASTI LULUH LANTAK NGGAK KARUAN.,dar hancur malaysia gam nggak tni turun rakyat indonesia militer hadap malaysia gamrakyat indonesia biar militer nggak sulit kalah militer negara tni terjun nggak malaysia luluh lantak nggak karuan,LABEL_2,0
"Ayo wes ganyang malades gak usa pskai tni rakyat aja dah cukup, buata apa hidup kalau sengsara, mending perang aja wes siap tok pokok e wes❤❤❤❤❤❤",ayo wes ganyang malades usa pskai tni rakyat buata hidup sengsara mending perang wes tok pokok wes,LABEL_2,0
"Saya sebagai masyarakat Indonesia,,saya berdoa bila mau perang sama negara kecil dan sombong itu,,semoga terjadi perang",masyarakat indonesiasaya doa perang negara sombong itusemoga perang,LABEL_2,0
"Sya orang Malaysia dri borneo...apa masaalah malaysia dengan indo?kami menolong indo kamu mau balas perang malaysia?kamu bole cuba...masaalah banjir ja kamu tak bole atasi kamu lari,apa lgi perang...sekali kamu sentuh malaysia, binasa la kamu....sya percaya bila kamu sentuh malaysia msa tu la kalimantan sutmatra papua dan sulawesi bantai kamu sendiri...msa tu mereka cari kemerdekaan...jdi jangan jadi bodoh....mau perang malaysia?kamu tahan ka england amerika china jepun?kamu tahan ka bom nuklear?jangan temberang saudara ku...jangan cri makan duit bohong tu haram saudara ku....jangan buat crita palsu bohong hoax...malaysia indo tak pernah mau perang....presiden kamu tu erat betul dengan malaysia...kamu ja yg segelintir rakyat yg cri maut mau perang...",sya orang malaysia dri borneoapa masaalah malaysia indokami tolong indo balas perang malaysiakamu bole cubamasaalah banjir bole atas lariapa lgi perangsekali sentuh malaysia binasa kamusya percaya sentuh malaysia msa kalimantan sutmatra papua sulawesi bantai sendirimsa cari kemerdekaanjdi bodohmau perang malaysiakamu tahan england amerika china jepunkamu tahan bom nuklearjangan temberang saudara kujang cri makan duit bohong haram saudara kujang crita palsu bohong hoaxmalaysia indo perangpresiden erat malaysiakamu gelintir rakyat cri maut perang,LABEL_2,0
"Harus di coba,jng omon omon aja",cobajng omon omon,LABEL_2,0
"Kalau perang,, perang saja,, gak usah basa basi di media,,kalau tidak ,, gak perlu di beberkan di media,, daripada memalukan",perang perang basa basi mediakalau kan media malu,LABEL_2,0
"Udah ! Jangan kasih hati lagi, BERI aja.",kasih hati,LABEL_0,2
"Pas medeka rataaaa d sapu sunami, LG, 
Krna merka mental PEMBERONTAK,  MENTAL PENGHIANAT,  pantas krna mntaln penghianat sumua",pas medeka rataaaa sapu sunam krna merka mental berontak mental penghianat krna mntaln penghianat sumua,LABEL_2,0
Malaisyia musuh dlm selimut,malaisyia musuh dlm selimut,LABEL_2,0
Malesia pura2 baik TPI htinya busuk,malesia pura tpi htinya busuk,LABEL_2,0
Berita bohong ini.kami di Malaysia tk pernah tiada beras.semua mangsa bencana dibantu.rakyat nkri seperti Papua pun menuntut merdeka.tak perlu salahkan negara luar.,berita bohong inikami malaysia tiada berassemua mangsa bencana dibanturakyat nkri papua tuntut merdekatak salah negara,LABEL_2,0
Ini kan musim perang dimana mana siap perang.,musim perang mana perang,LABEL_2,0
Ayo perang.,ayo perang,LABEL_2,0
Hancurkan dulu Malaysia supaya tidaklagi membuall,hancur malaysia tidaklagi membuall,LABEL_2,0
"Malaysia mempengaruhi warga Aceh,,",malaysia pengaruh warga aceh,LABEL_1,1
"ACEH TIDAK BERTERIMA KASIH
KEPADA PEMERINTAH
SIKAT AJA ORANG JAHAT",aceh terima kasih perintah sikat orang jahat,LABEL_2,0
Jangan banyak omong dipermainkan malaysia berapakali tapi nyatanya hanya omong doang,omong main malaysia berapakali omong doang,LABEL_2,0
Rakyat Indonesia jgn bangga mau perang..x perang pun rakyatnya susah...perang perlu uang yg byk...gak ada uang  mau perang.... walaupun rakyat Indonesia ramai gak ada uang gak boleh menang perang lg jadi miskin tegar,rakyat indonesia jgn bangga perangx perang rakyat susahperang uang bykgak uang perang rakyat indonesia ramai uang menang perang miskin tegar,LABEL_2,0
Sesekali Malasia Dikasih Pelajaran .,malasia kasih ajar,LABEL_2,0
hajar saja pak!! malaydesh sering menghina menghasut ganyang!!,hajar malaydesh hina hasut ganyang,LABEL_2,0
Ganyang Malaysia s karang pak ganyang kita perang i Malaysia,ganyang malaysia karang ganyang perang malaysia,LABEL_2,0
"Biarkan mereka merdeka dan jangan halangi,,mau tau seperti apa mereka ke depan ,,,lebih baik kit perang dengan Malaysia",biar merdeka halangimau tau kit perang malaysia,LABEL_2,0
Embargo saja....!!!,embargo,LABEL_2,0
Sdh jngn bnyk ngomong ganyang malaydesh hancur negara  halu biar g ada di dunia ini negara penipu negara halu,sdh jngn bnyk ngomong ganyang malaydesh hancur negara halu biar dunia negara tipu negara halu,LABEL_2,0
"Prabowo mantan jeneral TNI spt ayam bacul, jln pn spt burung penguin tua, kikikiki..",prabowo mantan jeneral tni spt ayam bacul jln spt burung penguin tua kikikiki,LABEL_2,0
Hancurkan malaysia klau ikut campur masalah Nkri.,hancur malaysia klau campur nkri,LABEL_2,0
Makanya aceh terus di guncang bencana karna org aceh gak tahu diri gak tahu malu  allah terus melaknat .begitu kena goncang malah minta tolong.,aceh guncang bencana org aceh malu allah laknat kena goncang tolong,LABEL_2,0
"Tuh urusin warga anda banglades
Yg menjajah suku melayu , kasian
Melayu malaysia tergusur oleh war
Ganya Sendiri Bangsa Banglades
Jangan nyesel raja2 melayu di kali
Mantan akan bergabung dng Indon
esia yah",urusin warga banglades jajah suku melayu kasi melayu malaysia gusur war ganya bangsa banglades nyesel raja melayu mantan gabung dng indon esia,LABEL_2,0
Tangkap saja yg bikin makar di NKRI,tangkap makar nkri,LABEL_2,0
Malaysia ama Gam akan hancurkan jakarta😂😂😂😂,malaysia ama gam hancur jakarta,LABEL_2,0
Usir. Para pemberontak dari nkri.....suruh mereka keluar negeri.....ingat  nkri harga mati.....,usir berontak nkrisuruh negeriingat nkri harga mati,LABEL_2,0
"Pak Prabowo  dan ABRI polri , coba di ganyang saja itu malades",prabowo abri polri coba ganyang malades,LABEL_1,1
Malaysia. Omong kosong...0 besar...ganyang. malaysia.......,malaysia omong kosong besarganyang malaysia,LABEL_2,0
"Aceh paling mudah dipropokasi negara luar dan lebih percaya dng luar  , padahal mereka itu ada udang dibalik bakwan  niat busuk  kotor otaknya  , tp aceh sangat mudahnya kena rayuan gombal",aceh mudah dipropokasi negara percaya dng udang balik bakwan niat busuk kotor otak aceh mudah kena rayu gombal,LABEL_2,0
Semua tergantung Gubernur nya...dan pejabat2 terkait.lalu Ketegasan presiden prabowo di pertayakan...,gantung gubernur nyadan jabat terkaitlalu tegas presiden prabowo pertayakan,LABEL_1,1
Malasya cari gara2 slalu mancing2 permusuhan,malasya cari gara slalu mancing musuh,LABEL_2,0
Sabah serawak kita dukung utk.merdeka kalau tetap mempropokasi aceh jangan percaya janji malaydesh pembohong bukti nya sabah dan serawak hasil bumi nya dikuras tanpa malu,sabah serawak dukung utkmerdeka mempropokasi aceh percaya janji malaydesh bohong bukti sabah serawak hasil bumi kuras malu,LABEL_2,0
"Kapan pa kita perang, saya baru satu istri, padahal mau kawin lagi",perang istri kawin,LABEL_2,0
Emang baru ini presiden yg punya pemikiran yg berani menjaga kedaulatan NKRI Malaysia itu israelnya asia tenggara Anwar Ibrahim netanyahunya asia tenggara muslim tapi hatinya busuk suka mengaku ngaku milik punya orang lain emang dasar didikan britis  yg suka menjajah negara orang lain  gak punya rasa maluu 😮😮😮😮😮😮hi hah,presiden pikir berani jaga daulat nkri malaysia israelnya asia tenggara anwar ibrahim netanyahunya asia tenggara muslim hati busuk suka aku ngaku milik orang dasar dik britis suka jajah negara orang maluu hah,LABEL_2,0
"Daerah  terkutuk, aceh  ini  munafik.",daerah kutuk aceh munafik,LABEL_2,0
"Maksudnya apa nih Malaydesh ?
Rakyat Indonesia hanya tunggu komando Presiden RI, jika bilang Ganyang Malaysia 
Siap sepenuh hati, sekuat tenaga Rakyat Indonesia akan senang hati mengganyang Malaysia",maksud malaydesh rakyat indonesia tunggu komando presiden bilang ganyang malaysia sepenuh hati kuat tenaga rakyat indonesia senang hati ganyang malaysia,LABEL_0,2
Di Malaysia itu ada orang GAM. Yang sembunyi disana sampai sekarang.,malaysia orang gam sembunyi sana,LABEL_2,0
Memang pemerinta indonesia yg kurang melayani masyarakat jaman sekarang masyarakat masih banyak yg bodoh bisa bicara saja,pemerinta indonesia layan masyarakat jaman masyarakat bodoh bicara,LABEL_2,0
"Panglima ,aceh berontak mohon hancurkan GAM dan Malaysia sampai akar2nya",panglima aceh berontak mohon hancur gam malaysia akar,LABEL_2,0
Serawak dan Sabah tidak bisa makmur di buat Malaysia kok mau Aceh gabung,serawak sabah makmur malaysia aceh gabung,LABEL_1,1
Reza Cholid merusak ACEH.....segerah Hukum MATI dan miskinkan agar hasil Uang Rampokan tidak biayai utk  GAM.....Reza Cholid segerah Tangkap dialah Penghianat NKRI,reza cholid rusak acehsegerah hukum mati miskin hasil uang rampok biaya utk gamreza cholid gerah tangkap penghianat nkri,LABEL_2,0
Pea lue...gampang ngomong...coba lue DTG ke sini...,pea luegampang ngomongcoba lue dtg,LABEL_2,0
"Alangkah hina Aceh banyak ulamak bsar disana tapi ,maksiat teros ach,aku yakin,ach akan disiksa sama allwoh,buktikan omongan saya karna lidah ku belang belang kaya lidah ular,aku sabda aceh",alangkah hina aceh ulamak bsar sana maksiat ros achaku yakinach siksa allwohbuktikan omong lidah belang belang kaya lidah ularaku sabda aceh,LABEL_2,0
"Hai para orang Aceh sadar kamu,ingat kamu serambi Mekah tapi kamu GK sadar maksiad teros,ingsak allwoh akan murka lbih dasar,itu yg akan terjadi lagi",hai orang aceh sadar kamuingat serambi mekah sadar maksiad terosingsak allwoh murka lbih dasaritu,LABEL_2,0
Gubenur Aceh bermuka dua hati hati,gubenur aceh muka hati hati,LABEL_1,1
Provokator ulung malaydesh.,provokator ulung malaydesh,LABEL_2,0
Maka nya sesekali gempur saja tu si tukang claim wilayah Indonesia ini biar tau dia,gempur tukang claim wilayah indonesia biar tau,LABEL_1,1
Itu sama Malaysia bantu Palestina padahal cuman mulutnya saja yang besar,malaysia bantu palestina cuman mulut,LABEL_2,0
Sikat habis GAM dan Ganyang MALAYSIA,sikat habis gam ganyang malaysia,LABEL_2,0
"Ngk ada kata lain, Ganyang malaysia, hancurkan malaysua",ngk ganyang malaysia hancur malaysua,LABEL_2,0
Merdeka,merdeka,LABEL_0,2
suruh GAM gabung sama malaydes dan kita prang saja,suruh gam gabung malaydes prang,LABEL_1,1
santai saja malaydes sejarahnya itu  penghianat,santai malaydes sejarah penghianat,LABEL_2,0
"Malaysia memang profokator ,malaysia harus diberi ultimatum dan harus di ganyang untuk kedua kalinya.demi NKRI harga mati.",malaysia profokator malaysia ultimatum ganyang kalinyademi nkri harga mati,LABEL_1,1
"Kalau perang adalah solusinya, ayo kita perang pak Prabowo jangan takut, jngan biarkn negara2 lain merusak kedaulatan negara kita.",perang solusi ayo perang prabowo takut jngan biarkn negara rusak daulat negara,LABEL_2,0
Kenapa malaysia negara kecil begitu gencar dan berani terhadap Indonesia.. Indonesia bangsa yg besar tp kok pemerintah nya diam.. tdk ada tindakan nyata yg membuat mereka takut . Malah sebaliknya semakin berani..,malaysia negara gencar berani indonesia indonesia bangsa perintah diam tdk tindak nyata takut berani,LABEL_2,0
RI harus waspada...Malaysia ini tukang adu domba dan menghasut rakyat Aceh.,waspadamalaysia tukang adu domba hasut rakyat aceh,LABEL_2,0
"Negara kita Indonesia besar wadahnya namun para pejabatnya borok dan busuk mereka hampir tidak berketuhanan,berkeperimanusiaan hingga kea di ilan sosial bagi rakyat hanya simbol semata mata.",negara indonesia wadah jabat borok busuk berketuhananberkeperimanusiaan kea ilan sosial rakyat simbol,LABEL_2,0
Coba angkat senjata dengan malaydes pingin coba kekuatannya,coba angkat senjata malaydes pingin coba kuat,LABEL_2,0
"Bendera bulan bintang naik, hati2 bencana axeh akan kena bencana lagi..",bendera bintang hati bencana axeh kena bencana,LABEL_2,0
Jgn di bantu,jgn bantu,LABEL_2,0
Jangan takut dgn Malaysia pak Prabowo sekali kali kita kasih pelajaran kepada Malaysia,takut dgn malaysia prabowo kasih ajar malaysia,LABEL_2,0
Nkri kaya bisa bangun sendiri janganlah di asud  mudah sebahagian rakyat yg bodoh mau merdeka karna hukum ngak jalan krupsi yg meraja lela itulah aceh  di asud,nkri kaya bangun asud mudah sebahagian rakyat bodoh merdeka hukum ngak jalan krupsi raja lela aceh asud,LABEL_2,0
Gam gak nyadar2 .tu liat bencana sll datang .itu akibat ulah nya sll inginlepas dari nkri,gam nyadar liat bencana sll akibat ulah sll inginlepas nkri,LABEL_2,0
Betul atau bihong aceh mau merdeka yg di asut dari luar negri,bihong aceh merdeka asut negri,LABEL_2,0
GK tau malu,tau malu,LABEL_2,0
"Dipulau Jawa tengah juga dikelilingi laut 
Tapi tak pernah dilanda bencana sunami besar 
Karna Alloh maha mengetahui bahwa warga 
Pulau Jawa sangat bersukur apa yg tuhan tak macam warga Aceh yg merasa dirinya 
Paling hebat pinter jauh dari bersukur Ahkirnya sang pencipta mengamuk tanpa belas kasih orang yg 
Murka dan srakah merasa buminya ada 
Penghasilannya
Itu belum lagi kepada dari RI kalau sudah merdeka sudah Tentu tuhan akan turunkan bencana yg lebih besar.",pulau jawa keliling laut landa bencana sunam alloh maha warga pulau jawa bersukur tuhan warga aceh hebat pinter bersukur ahkirnya sang cipta amuk belas kasih orang murka srakah bumi hasil merdeka tuhan turun bencana,LABEL_2,0
"Sikat Malaysia ,,bravo TNI,,",sikat malaysia bravo tni,LABEL_1,1
Ada2 saja mau ppperang lawan siapa apa tak ada jalan lain,ppperang lawan jalan,LABEL_2,0
Ini mengadu domba indonesia dgn malaysia sementara yg diperlukan aceh bantuan pangan dan obat2an bukan adu domba,adu domba indonesia dgn malaysia aceh bantu pangan obat adu domba,LABEL_2,0
Sikat malasia...ngak usa jasi ampun,sikat malasiangak usa jas ampun,LABEL_2,0
Ini yang seluruh rakyat Indonesia tunggu ganyang malades,rakyat indonesia tunggu ganyang malades,LABEL_1,1
"oke gas, oke gas",oke gas oke gas,LABEL_2,0
"Anwar Ibrahim buka front perang dgn Indonesia, mengajak Aceh bergabung ke malaydesh, pemimpin Indonesia tdk ada berbicara sprt Anwar Ibrahim",anwar ibrahim buka front perang dgn indonesia ajak aceh gabung malaydesh pimpin indonesia tdk bicara sprt anwar ibrahim,LABEL_1,1
KATA ORANG ACEH KAYA KAYA GILIRAN KENA TSUNAMI DAN BANJIR BADANG MINTA BANTUAN NKRI JADI KITA SEBAGAI MASYARAKAT NKRI UDAH MUAK LIHAT MASYARAKAT ACEH MALES KADIH DORNASI SEBENTAR LAGI ACEH AKAN DI HAMTAM GEMPA DASYAT DAN STUNAMI BIAR MASYARAKAT ACEH MUSNAH 😂😂😂,orang aceh kaya kaya gilir kena tsunami banjir badang bantu nkri masyarakat nkri muak lihat masyarakat aceh males kadih dornasi sebentar aceh hamtam gempa dasyat stunami biar masyarakat aceh musnah,LABEL_2,0
Sikat aja deh Malaydesh,sikat malaydesh,LABEL_2,0
Malaydes jangan dikasih hati ganggu kedaulatan RI dinukler aja malaydes,malaydes kasih hati ganggu daulat dinukler malaydes,LABEL_2,0
Sudah pusing sama Malaysia Serawak sudah di ambil apa maunya sih....betul betul serakah lah tu Aceh jg udah berapa kali di bantu malah bikin ulah☝️,pusing malaysia serawak ambil mau sihbetul serakah aceh bantu ulah,LABEL_2,0
"Allahu akbar, kalimamantan aceh siap gabung  malaysia",allahu akbar kalimamantan aceh gabung malaysia,LABEL_1,1
😂😂😂malesia serumpun gak bosan bosan di bodohi malesya  terlalu di kerjain malesya tetap percaya😂😂😂😂😂  seiman prettttt,malesia serum bosan bosan bodoh malesya kerjain malesya percaya iman prettttt,LABEL_2,0
Bantainya saja lah...malaydes ini...lama..lama..nglunjakkk..,bantai lahmalaydes inilamalamanglunjakkk,LABEL_2,0
Gam ini harus ratakan,gam rata,LABEL_2,0
Gubernur Aceh kurang tegas. Orang Aceh kok tak sadar udah di kenak sunami 2 kali,gubernur aceh orang aceh sadar nak sunam,LABEL_2,0
Kalau da perang baru la tau rasa nak negara jiran selalu ikut campur tanah air indonesia,perang tau nak negara jiran campur tanah air indonesia,LABEL_2,0
Lepaskan saja Aceh untuk apa juga..,lepas aceh,LABEL_1,1
Mari bersatu . Jngan mau di frofox .,mari satu jngan frofox,LABEL_1,1
Bukan merengek bantuan lambat blm mencukupi,rengek bantu lambat blm cukup,LABEL_2,0
"Aceh kalo mau merdeka ,silahkan pergi ke malaysia dan tinggalkan wilayah nya . Krn masuk pulo sumatra ,  Indonesia",aceh merdeka silah pergi malaysia tinggal wilayah krn masuk pulo sumatra indonesia,LABEL_1,1
"Soal klaim, serahkan ke negeri Jiran. Pencuri juga iya. Gubernur Aceh jika sudah terbukti berkhianat, penjarakan saja. GAM tentu ada keterlibatan diam diam negara asing yang punya kepentingan. Perangi saja. Selesai. Salam NKRI ❤❤❤",klaim serah negeri jiran curi iya gubernur aceh bukti khianat penjara gam libat diam diam negara asing penting rang selesai salam nkri,LABEL_2,0
Kobarkan kejayaan MAJAPAHIT di era indonesia kuasai serawak dan sabah,kobar jaya majapahit era indonesia kuasa serawak sabah,LABEL_1,1
Ya presiden segera jadikan DOM lagi dan singkirkan malaydesh yg memprovokator aceh putuskan segera diplomasi  dgn malaydesh gaungkan ganyang ganyang ratakan,presiden jadi dom singkir malaydesh provokator aceh putus diplomasi dgn malaydesh gaung ganyang ganyang rata,LABEL_2,0
MCAM 2 MALASIA  DI BOM AJ . PROPOKASI  . DRi ZMAN  DULU .,mcam malasia bom propokasi dri zman,LABEL_1,1
MAKANY TU  INGSAP  ORANG 2 GAM .UDAH DI PRONGATKAN LANGSUNG .,makany ingsap orang gam prongatkan langsung,LABEL_2,0
Yang perlu di gilas dulu bkn aceh dulu. Tapi menghancurkan malaisia dulu. Kapan di mulai hancurin malaisia. Di tunggu beritanya,gilas bkn aceh hancur malaisia hancurin malaisia tunggu berita,LABEL_2,0
Rakyat siap tunggu komando,rakyat tunggu komando,LABEL_1,1
Aceh itu banyak masalah karena ada gamnya yg selalu negatif menilai pemerintah karrna gam itu masih bodoh mudah terprovokasi negara tetangga,aceh gam negatif nilai perintah karrna gam bodoh mudah provokasi negara tetangga,LABEL_2,0
"Si omon "" Ga jelas hancurkan klo brani sama mlyasia",omon hancur klo brani mlyasia,LABEL_2,0
Kita perang SJ dgn Malaysia yg persidenya td px malu,perang dgn malaysia persidenya malu,LABEL_2,0
Ganyang malingsia k.2,ganyang malingsia,LABEL_2,0
"Wowo bsnyak omon ""gerak cepat dong.. Jangan omong terus. Petinggi "" Indonesiarata"" Egois, jahat, tidak ada jiwa nasionalisme... dan prabiwo diem bae lambat bergerak",wowo bsnyak omon gerak cepat omong petinggi indonesiarata egois jahat jiwa nasionalisme prabiwo diem bae lambat gerak,LABEL_2,0
"Udah habisi aja Malaysia 
Rakyat siap ganyang Malaysia ... Udah capek di ganggu .. di fitnah .. di mana harga diri bangsa ini di obok2 Malaysia terus ... 
GANYANG MALAYSIA",habis malaysia rakyat ganyang malaysia capek ganggu fitnah harga bangsa obok malaysia ganyang malaysia,LABEL_2,0
Jika Aceh ingin Merdeka atau ingin gabung dgn Malaysia doa kami semoga Aceh di adzab Allah SWT dg tsunami yang lebih besar lagi aamiin aamiin allhumma aamiin,aceh merdeka gabung dgn malaysia doa moga aceh adzab allah swt tsunami aamiin aamiin allhumma aamiin,LABEL_0,2
Iyah  malasea kaya  tapi Rakyat nya  kalaparan kan  baik nya kita kaseh  aja  Rudal  100  biji kan selase kan kita hapus Di dari pita Dunia  baik nya Gayang malasea  kita hapus aja malasea tamat,iyah malasea kaya rakyat kalaparan kaseh rudal biji selase hapus pita dunia gayang malasea hapus malasea tamat,LABEL_2,0
Mau bantu tapi d belakangnya busuk mau cari muka yg bener angkat senjata indonesia udah muak sama pengecut,bantu belakang busuk cari muka bener angkat senjata indonesia muak kecut,LABEL_2,0
bbencana ajah kamu dh. kelaparan apa lagi. kamu menta merdeka. perang dulu baru kamu pintar,bbencana ajah lapar menta merdeka perang pintar,LABEL_2,0
Sape mengasot.. rakyat' kau pun..sape yg gompak arta aceh,sape mengasot rakyat kau punsape gompak arta aceh,LABEL_2,0
Mengasot ape menteri bodoh...tk hbs nk perang jekau..,mengasot ape menteri bodohtk hbs perang jekau,LABEL_2,0
Mantap ini harus di laksanakan cukup. Indonesia sabar di caci di maki menjijikan. Tak usah sebut. Allah lagi Muzakir  musibah Aceh tak akan berhenti kalau GAM masih di. RI. Membuat sial. Malaysia  itu tepat utk kalian kumpul.  Ganyang Malaysia jilit ke 2.  Habis cerita kalian menjijikan,mantap laksana indonesia sabar caci maki jijik allah muzakir musibah aceh henti gam sial malaysia utk kumpul ganyang malaysia jilit habis cerita jijik,LABEL_2,0
Hancurkn saja pak persiden dan kalau aceh pingin hidup mandiri atau merdeka send8ri biarin aja.,hancurkn persiden aceh pingin hidup mandiri merdeka sendri biarin,LABEL_2,0
50 helikopter akhirnya makai gajah. 😂😂😂😂😂,helikopter maka gajah,LABEL_1,1
Probowo penipu kami bunuh probowo,probowo tipu bunuh probowo,LABEL_2,0
Sebaliknya kita perang saja dengan Malaysia,perang malaysia,LABEL_2,0
Biyar dia kelaparan malasia jagan dikasi beras,biyar lapar malasia jagan kasi beras,LABEL_2,0
Malasia dari zaman pakarno jahat  dia,malasia zaman pakarno jahat,LABEL_2,0
Jngn d bantu lgi lh,jngn bantu lgi,LABEL_1,1
"Malaysia jgn menghasud.INDONESIA.
Indonesi jgn kau lawan.Lagu kebangsaan mu siapa..!! yg mencip kan.dari BANGSA INDONESIA. cipta kan lagu  sendiri tdk becus.😂😂😂",malaysia jgn menghasudindonesia indonesi jgn kau lawanlagu bangsa cip kandar bangsa indonesia cipta lagu tdk becus,LABEL_2,0
"Silahkan saja kalo mau merdeka, tapi keluar dari NKRI seperti pemimpinnya GAM Hasan Tiro berani koar² di negeri orang (Swedia)",silah merdeka nkri pimpin gam hasan tiro berani koar negeri orang swedia,LABEL_1,1
"Kita lawan aja aceh habiskan orang "" Yang makar, orang aceh ga ada toleransinya makanya mereka ga berani kemana mana",lawan aceh habis orang makar orang aceh toleransi berani mana,LABEL_2,0
"Tunjuk perang mau, tapi tolong rakyat Sumatra dan Aceh tidak berdaya sangat sangat bodoh kerajaan republik indon.. duit harta uang masuk poket saku dpr dpi iya sangat bodoh, memang tiada kelas sekolah yang betul-betul mahir dibandingkan dgn negara negara lain😮😮😮😮",perang tolong rakyat sumatra aceh daya bodoh raja republik indon duit harta uang masuk poket saku dpr dpi iya bodoh tiada kelas sekolah betulbetul mahir banding dgn negara negara,LABEL_2,0
Kalau sampai Aceh merdeka ..lebih baik gayang malaisia negara penipu pencuri,aceh merdeka gayang malaisia negara tipu curi,LABEL_2,0
Rrakyat indonisia siap perangi penghoanat,rrakyat indonisia rang penghoanat,LABEL_2,0
Saya heran malaysia dan indonesia.. Negara mayoritas islam... Kenapa suka menghasut... Ingin perang sam a Indonesia y... Bravo TNI bravo nkri,heran malaysia indonesia negara mayoritas islam suka hasut perang sam indonesia bravo tni bravo nkri,LABEL_2,0
Salam dariku MENIR KERAJAAN Hindia Belondo atau Belanda yang ada di kecamatan Kasemen ibukota kerajaan Hindia Belondo atau Belanda yaitu kota Raja kota serang Banten dan jumlah prajurit tentara kerajaan hindia Belondo atau Belanda yaitu kurang lebih 10 juta tentara Belondo atau baduy dalam dan badui luar lengkap dengan senjata canggih,salam dari menir raja hindia belondo belanda camat kasemen ibukota raja hindia belondo belanda kota raja kota serang banten prajurit tentara raja hindia belondo belanda juta tentara belondo baduy badui lengkap senjata canggih,LABEL_1,1
Dan jumlah tentara militer kerajaan Malaysia yaitu kurang lebih 800 ribu lengkap dengan senjata canggih dan kerajaan Malaysia apabila terjadi perang maka status akan di bantu oleh 30 negara negara Republik dengan adanya pembayaran semenjak tahun 1950 Masehi,tentara militer raja malaysia ribu lengkap senjata canggih raja malaysia perang status bantu negara negara republik bayar semenjak masehi,LABEL_1,1
"Malaysia kalau masih ada itu bikin masalah terus, jadi tolong jangan kasih ampun lagi sudah",malaysia tolong kasih ampun,LABEL_2,0
Apabila jumlah tentara Gam berjumlah 50 Ribu tentara GAM maka bisa di tumpas habis karena negara Republik Indonesia adalah negara imperium persenjataan canggih seperti Amerika serikat dan Rusia dan jumlah tentara TNI negara Republik Indonesia yaitu kurang lebih 3 juta tentara TNI lengkap dengan senjata canggih dan laser tentara TNI dengan jumlah 3 juta mengikuti program tentara prajurit kerajaan imperium kerajaan Majapahit empire,tentara gam ribu tentara gam tumpas habis negara republik indonesia negara imperium senjata canggih amerika serikat rusia tentara tni negara republik indonesia juta tentara tni lengkap senjata canggih laser tentara tni juta ikut program tentara prajurit raja imperium raja majapahit empire,LABEL_1,1
Malaysia satukan indonesia,malaysia satu indonesia,LABEL_0,2
